seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
40,Marguerite,Vega,60,Gonud Parkway,Fujawabi,IN,06235,$704.57,WHITE,05/28/2022
41,Gussie,Marsh,37,Leja Trail,Wejuddeh,ID,25463,$4346.76,GREEN,12/06/1902
42,Ina,Tyler,28,Domir Plaza,Ujbecce,KY,77337,$3252.78,BLUE,02/14/2042
43,Ina,Cruz,20,Lozvu Road,Rokabni,ME,66077,$328.50,WHITE,12/28/2029
44,Marcus,Pratt,44,Zeruf Terrace,Tudrupu,MO,13936,$2998.89,BLUE,04/17/2026
45,Jordan,Bishop,59,Sorwo Center,Mimecga,GA,14665,$9475.06,RED,01/10/1933
46,Paul,Stone,61,Bewmo Manor,Hammopdu,DE,09919,$9356.61,GREEN,12/21/1965
47,Samuel,James,50,Letciz Square,Poavooni,CT,47124,$5799.40,YELLOW,03/02/2021
48,Mable,Lawrence,39,Ajudin Road,Rojfehin,MA,81901,$3714.86,YELLOW,05/20/2034
49,Brett,Mathis,60,Amfo Way,Afcajec,LA,74249,$6578.46,YELLOW,10/25/2063
50,Mario,Fisher,32,Otonet Key,Ijohedhi,MT,37123,$2936.98,BLUE,06/30/2061
51,Effie,Wade,38,Kahra Center,Niuteod,ME,70666,$6761.81,GREEN,12/20/2064
52,Beulah,Turner,28,Iduwos Mill,Zopfozu,MT,20199,$4280.80,RED,06/25/1986
53,Aaron,Harvey,62,Romlos Glen,Bupilas,NM,39964,$7376.15,WHITE,04/01/1934
54,Brent,Dixon,57,Rata Park,Weudnap,IL,74918,$3737.63,RED,04/08/1936
55,Bess,Wallace,52,Opiilu Center,Dujotutow,WA,12393,$6574.27,GREEN,08/15/1931
56,Jon,Caldwell,21,Riaw Heights,Ohriigu,NM,49488,$4026.18,RED,08/19/2064
57,Hattie,Gross,51,Duhjig Glen,Lidahme,TN,25184,$6569.14,YELLOW,08/09/1909
58,Rhoda,Morton,57,Vuih Trail,Nioniezi,NM,79083,$5877.95,YELLOW,06/14/1992
59,Tony,Alvarez,63,Voje Square,Cufidki,NM,26030,$4545.84,GREEN,05/22/2021
60,Sylvia,Roberson,27,Panmi Center,Iframuk,MS,17535,$7779.87,WHITE,06/23/1958
61,Troy,Cain,19,Uvakah Ridge,Fadduhber,NC,33032,$1214.93,RED,09/20/2002
62,Bruce,Washington,42,Kazlo Trail,Dumagoka,VT,85071,$7384.57,YELLOW,11/12/1925
63,Leah,Sharp,43,Natpu Lane,Ganrinjo,RI,91570,$7200.70,WHITE,10/20/2045
64,Jeanette,Walters,48,Bajik Circle,Vivucmuz,WV,52330,$5662.25,BLUE,10/31/2002
65,Marion,Valdez,29,Pimro Extension,Gugutmo,IL,19507,$9906.54,YELLOW,04/10/1912
66,Nathaniel,Luna,56,Ajeoz Loop,Luhohkim,UT,75753,$6311.55,BLUE,06/05/1919
67,Patrick,Duncan,35,Tezot Pass,Erogebu,RI,13044,$7911.94,WHITE,08/21/1930
68,Nancy,Cobb,52,Hulta Trail,Azunuznub,MI,51389,$190.92,GREEN,10/20/1966
69,Dora,Vargas,30,Pakhib Path,Hebufo,NV,18637,$5843.49,WHITE,03/12/1936
70,Leonard,Todd,55,Ruese Highway,Pekafu,KS,46849,$729.84,WHITE,12/06/1933
71,Mark,Blair,47,Mirmut Court,Apoevse,RI,92788,$5530.74,YELLOW,01/23/1990
72,Dorothy,French,61,Ewolap Pass,Ageuwpas,WA,39008,$9327.54,WHITE,03/20/1969
73,Ora,Pittman,49,Toro Drive,Gipiiza,NV,80663,$3062.06,YELLOW,07/07/1949
74,Gary,Robertson,20,Bubhe Court,Wujgadbe,AK,17294,$7621.84,GREEN,09/27/1963
75,Derek,Phillips,62,Mizsoh Place,Belwibdog,CA,85330,$6007.76,YELLOW,03/17/2039
76,Jesus,Figueroa,21,Pisbis Grove,Sokrivi,MO,89332,$114.61,BLUE,07/24/1957
77,Lee,Anderson,51,Itfi Manor,Zuetova,IA,91634,$3784.21,RED,06/25/1961
78,Allie,Carter,50,Onizos Lane,Kijukop,MD,05519,$5670.37,WHITE,09/10/2048
79,Isaiah,Gray,30,Mocov Point,Anceri,DC,45961,$22.51,RED,01/19/2048
80,Michael,Pierce,23,Ukinu Heights,Nafizmu,MS,99547,$7165.50,YELLOW,08/19/2005
81,Wesley,Rhodes,39,Rikec Manor,Kefzowe,GA,76586,$1407.30,RED,04/13/2041
82,Billy,McCarthy,26,Zuceg Pike,Ijutdon,IA,03028,$7115.70,BLUE,11/15/1990
83,Victor,Martin,40,Lifwu Junction,Epijook,MO,36284,$9464.94,YELLOW,09/10/1931
84,Edward,Dawson,21,Zunoh Place,Veribala,WV,75052,$9234.45,BLUE,11/10/1933
85,Curtis,Clayton,22,Jupun Avenue,Butuklo,MA,28734,$4119.27,GREEN,10/04/1962
86,Milton,Thornton,57,Jaju Boulevard,Suzibeg,SD,80355,$449.91,YELLOW,08/04/2069
87,Jorge,Curry,18,Nilfe Point,Pozutca,AZ,60113,$1653.43,GREEN,05/31/2064
88,Celia,Swanson,51,Fauc Grove,Bicirdiw,MD,58949,$2561.07,WHITE,06/28/2012
89,Grace,Davis,22,Worep Pass,Dulawlem,WV,54779,$6030.74,RED,03/31/1967
90,Matthew,Doyle,27,Holom Key,Geckerud,IN,75814,$8949.71,BLUE,02/13/1959
91,Donald,Manning,21,Dofip Pass,Ugosolveh,GA,18691,$3096.23,GREEN,10/31/1999
92,John,Daniel,56,Wepur Manor,Ladjera,AR,23058,$5012.08,BLUE,05/15/1902
93,Christine,Jones,50,Wapa Boulevard,Sepuswut,CO,35258,$2861.81,YELLOW,05/26/2053
94,Jim,Thomas,32,Ticu Mill,Efmevpi,IN,42004,$3485.93,GREEN,11/05/1936
95,Adele,McKenzie,51,Saduj Key,Dabgukro,AR,26490,$6624.85,GREEN,06/24/1907
96,Sallie,Ross,39,Nowog River,Mopecjor,NH,77120,$4423.71,BLUE,06/13/1978
97,Mark,Wagner,26,Uvosu Pike,Tuponhag,MT,98756,$5691.80,YELLOW,01/24/2019
98,Emily,Sherman,46,Liovi Drive,Usroroz,CA,96118,$1286.21,GREEN,12/25/2068
99,Jackson,Schultz,45,Urije Turnpike,Ajkidba,HI,45631,$8701.54,WHITE,12/13/2051
100,Ella,Webb,35,Onolel Drive,Ejwece,MN,75490,$8575.10,RED,04/29/1955
